1	0.00	0.00
2	0.00	0.02
3	0.00	0.04
4	0.00	0.06
5	0.00	0.08
6	0.00	0.10
7	0.02	0.00
8	0.02	0.02
9	0.02	0.04
10	0.02	0.06
11	0.02	0.08
12	0.02	0.10
13	0.04	0.00
14	0.04	0.02
15	0.04	0.04
16	0.04	0.06
17	0.04	0.08
18	0.04	0.10
19	0.06	0.00
20	0.06	0.02
21	0.06	0.04
22	0.06	0.06
23	0.06	0.08
24	0.06	0.10
25	0.08	0.00
26	0.08	0.02
27	0.08	0.04
28	0.08	0.06
29	0.08	0.08
30	0.10	0.00
31	0.10	0.02
32	0.10	0.04
33	0.10	0.06
34	0.10	0.08

1 2 7	0.00
2 3 8	0.00
3 4 9	0.00
4 5 10	0.00
5 6 11	0.00
2 7 8	0.00
3 8 9	0.00
4 9 10	0.00
5 10 11	0.00
6 11 12	0.00
7 13 8	0.00
8 14 9	0.00
9 15 10	0.00
10 16 11	0.00
11 17 12	0.00
8 13 14	0.00
9 14 15	0.00
10 15 16	0.00
11 16 17	0.00
12 17 18	0.00
13 14 19	0.00
14 15 20	0.00
15 16 21	0.00
16 17 22	0.00
17 18 23	0.00
14 19 20	0.00
15 20 21	0.00
16 21 22	0.00
17 22 23	0.00
18 23 24	0.00
19 20 25	0.00
20 21 26	0.00
21 22 27	0.00
22 23 28	0.00
20 25 26	0.00
21 26 27	0.00
22 27 28	0.00
23 28 29	0.00
25 26 30	0.00
26 27 31	0.00
27 28 32	0.00
28 29 33	0.00
26 30 31	0.00
27 31 32	0.00
28 32 33	0.00
29 33 34	0.00

1	0.00
2	0.00
3	0.00
4	0.00
5	0.00
6	0.00
24	15.00
23	15.00
29	15.00
34	15.00
30	0.00
25	0.00
19	0.00
13	0.00
7	0.00
